INF [20130701-14:26:01.082] stats: {"hello1":90,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":45,"hello2":45}
INF [20130701-14:27:01.063] stats: {"hello1":90,"hello2":20}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":45}
INF [20130701-14:27:01.063] stats: {"hello1":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
INF [20130701-14:27:01.063] stats: {"hello1":0,"hello2":0}
